"","oB","oC","oD","oF","oG","oRo","oSigma","oDelta","odhad"
"429",3.12504677626648,-2.07311999847773,-4.89606013242597,-3.99090808210643,9.82933397951342,0.811897843801781,0.00557451594336071,0.00158494041249319,15
"430",3.12952062505047,-2.07589954733027,-4.88413058797959,-3.99681241263695,9.78381520475263,0.79607054331517,0.00610250764981237,0.00213856953155745,15
"431",3.12571773403312,-2.07346869791874,-4.89447536867559,-3.99218469344404,9.82362144570209,0.80947461560322,0.00566448155789133,0.00167158570348986,15
"432",3.12907857937405,-2.0755686187132,-4.88536860046838,-3.99657483531939,9.78867469896976,0.797344298820354,0.00607209160841533,0.0021027644808429,15
"433",3.12613893218745,-2.07368470110674,-4.89342250895766,-3.99300280016803,9.81970042438508,0.807784311900322,0.0057270831372347,0.00173332455412676,15
"434",3.12876124885779,-2.07533380365096,-4.88627308933591,-3.99638140505367,9.79223518552365,0.798316760684832,0.0060464376110357,0.00207306046857549,15
"435",3.12644805078527,-2.07384971002805,-4.89263175123734,-3.99356896282099,9.81673428180411,0.806555754654602,0.00577224058374683,0.00177866402975411,15
"436",3.12851973880441,-2.07515835242389,-4.88696270228846,-3.99621178782331,9.79494343846706,0.799082450413008,0.00602484862718734,0.00204839815162395,15
"437",3.12668284241525,-2.07397950694281,-4.89202143513792,-3.9939747957628,9.81443402687555,0.805637387946703,0.00580568287000704,0.00181271676900275,15
"438",3.12833139994072,-2.07502412925851,-4.88749928237629,-3.99606262929205,9.79704461679084,0.799695263079866,0.00600675123604113,0.0020279537120918,15
"439",3.12686452545514,-2.07408286222798,-4.89154322010965,-3.99427273870014,9.8126244554439,0.804936915712218,0.00583094485383229,0.0018387275842529,15
"440",3.12818242558258,-2.07491983600592,-4.88792215474886,-3.99593281978447,9.79869595720002,0.800189957738673,0.00599165218644921,0.00201105138597708,15
"441",3.12700688086416,-2.07416574092472,-4.89116481587192,-3.99449559603459,9.8111878237585,0.804394841116825,0.00585031353583557,0.00185884759171382,15
"442",3.12806357699251,-2.0748379281757,-4.88825816292359,-3.9958212450218,9.80000486926656,0.800590978648953,0.00597911508785735,0.00199712078371709,15
"443",3.12711938051844,-2.07423246721657,-4.89086345332459,-3.99466477835605,9.81004058068176,0.803970934663847,0.00586533146946535,0.0018745586546191,15
"444",3.1279682767454,-2.07477312343121,-4.88852656317539,-3.99572643536521,9.80104822028684,0.800916621585902,0.00596875206802305,0.00198567504789668,15
"445",3.12720881096358,-2.07428630713002,-4.89062242903466,-3.99479474031507,9.80912101493059,0.803636907089965,0.0058770758807729,0.00188691478249948,15
"446",3.1278916291018,-2.07472158501526,-4.88874168734163,-3.99564665495522,9.80188299874789,0.801181150652109,0.00596022069232426,0.00197629817016714,15
"447",3.12728019277181,-2.07432979708099,-4.8904291258808,-3.99489552344272,9.80838220338843,0.803372231933618,0.00588632070944297,0.00189668535024114,15
"448",3.12782987694024,-2.07468044755384,-4.8889144865771,-3.99558006235771,9.80255255980769,0.801395961759113,0.00595322194364646,0.00196863610384978,15
"449",3.1273373301605,-2.07436494263059,-4.89027381224866,-3.99497427495071,9.80778773681449,0.803161644946608,0.00589363490780962,0.00190444370671218,15
"450",3.12778007832866,-2.07464752660059,-4.88905348244588,-3.99552484404108,9.80309049496435,0.801570282133389,0.00594749777839582,0.00196238938068683,15
"451",2.78564730705501,-2.03607845506363,-5.07109843532541,-2.71710975172662,9.4308311723154,0.00647847248579349,0.00994520012185065,0.000462046580540115,16
"452",2.9796706847916,-2.06340570647923,-4.97564027942738,-3.48763979945098,9.58786534393775,0.625908165579744,0.00811728706393282,-0.000646868677012609,16
"453",2.96522410122479,-2.09070616085106,-4.92100979060386,-3.28877664343735,9.35333693862992,0.744358291953892,0.00409889261621576,-9.32718127292865e-05,16
"454",2.97216369142612,-2.09893159406734,-4.90176062038283,-3.28073516526602,9.29428020127005,0.81791734669046,0.00396057353645132,7.16808430823142e-05,16
"455",2.96290412084286,-2.10085668138449,-4.89751018177514,-3.22855515351555,9.24666847762008,0.811488582060589,0.00403428316060072,0.000230237525252581,16
"456",2.96135328365998,-2.09908491469743,-4.90173168865664,-3.22990855562776,9.25920450846169,0.807831587166195,0.00411546082156206,0.000335746366692011,16
"457",2.96050828888755,-2.09812477547305,-4.90395654542613,-3.23060330703336,9.26567004620472,0.805382085218195,0.00416895111018501,0.000405187863506073,16
"458",2.95994440700003,-2.09748009812762,-4.90545502838042,-3.2310806973801,9.27003291618596,0.803771281086271,0.00420418075673522,0.00045003864258351,16
"459",2.95960510280709,-2.09707669065467,-4.90638779714886,-3.23144264645837,9.27278660569779,0.802726127038319,0.00422694024067194,0.000478662977532714,16
"460",2.95939531464082,-2.09682237144081,-4.90697483321656,-3.23168990456605,9.2745315995105,0.80205710899375,0.00424148235398515,0.000496786898618555,16
"461",2.9592659547879,-2.09666302028892,-4.90734210862037,-3.2318545249954,9.27562941821243,0.801632617054778,0.004250693062362,0.000508202222721812,16
"462",2.9591857778156,-2.09656326801302,-4.90757182956951,-3.23196128400275,9.27631841757583,0.801364878741381,0.00425649587419942,0.000515368129505896,16
"463",2.95913598044171,-2.09650090152883,-4.90771537674297,-3.23202956000583,9.27674992446384,0.801196654811259,0.00426013899291728,0.000519856916645692,16
"464",2.95910499511093,-2.09646193261625,-4.90780504086558,-3.23207282225219,9.2770198385315,0.801091216497731,0.00426242123955295,0.000522664960810868,16
"465",2.95908569384726,-2.09643759352394,-4.90786103145953,-3.23210008079423,9.27718853694989,0.801025233204492,0.00426384899971864,0.000524420103318522,16
"466",2.95907366190462,-2.09642239567433,-4.90789598869735,-3.23211719487688,9.27729392160345,0.800983981318821,0.00426474143025852,0.000525516559220496,16
"467",2.95906615799703,-2.0964129073131,-4.90791781154324,-3.23212791612355,9.27735973358519,0.800958207052798,0.00426529894924349,0.000526201300036487,16
"468",2.95906147668627,-2.09640698409529,-4.9079314340235,-3.23213462325915,9.27740082449244,0.800942109446684,0.0042656471251094,0.000526628834767309,16
"469",2.95905855570983,-2.09640328668571,-4.9079399372258,-3.23213881558099,9.2774264771325,0.800932057932711,0.00426586451847499,0.00052689574205875,16
"470",2.95905673290886,-2.09640097876533,-4.9079452448153,-3.2321414345988,9.27744249056312,0.800925782608786,0.00426600023628208,0.000527062357178121,16
"471",2.95905559532838,-2.09639953819747,-4.90794855768956,-3.23214307019623,9.27745248631421,0.800921865191051,0.00426608495741248,0.000527166360325604,16
"472",2.95905488535046,-2.0963986390309,-4.90795062548748,-3.23214409142569,9.27745872557591,0.800919419857772,0.00426613784142502,0.000527231278289039,16
"473",2.95905444223191,-2.09639807779874,-4.90795191613734,-3.23214472897447,9.27746261999494,0.800917893486189,0.00426617085124589,0.000527271798785457,16
"474",2.95905416566338,-2.09639772749689,-4.9079527217143,-3.23214512696068,9.27746505078233,0.800916940750311,0.00426619145532761,0.000527297090559911,16
"475",2.95905399304365,-2.0963975088513,-4.90795322452504,-3.23214537538866,9.27746656800052,0.800916346076865,0.00426620431583042,0.00052731287686597,16
"476",2.95905388530262,-2.09639737238103,-4.90795353836003,-3.23214553045557,9.27746751499422,0.800915974900177,0.00426621234294117,0.000527322730119595,16
"477",2.9590538180555,-2.09639728720159,-4.90795373424349,-3.23214562724528,9.27746810607233,0.800915743224514,0.00426621735318027,0.000527328880153471,16
"478",2.95905377608275,-2.09639723403594,-4.90795385650617,-3.23214568765875,9.27746847500055,0.800915598621076,0.00426622048038514,0.000527332718768374,16
"479",2.95905374988513,-2.09639720085206,-4.90795393281765,-3.23214572536688,9.27746870527109,0.800915508365116,0.00426622243226643,0.000527335114681614,16
"480",2.95905373353365,-2.09639718014001,-4.90795398044822,-3.23214574890297,9.27746884899684,0.800915452030858,0.00426622365055438,0.000527336610115811,16
"481",2.6737442041347,-1.94677313174387,-5.38652742190719,-2.36376368762831,9.73017637934434,0.0163849530118996,0.0205396968660642,-0.00323613418731974,17
"482",3.01844126122242,-2.03224023943147,-5.14137550883277,-3.5098615449726,9.73451971342557,0.777696154037606,0.0146066136892704,-0.00599074067312888,17
"483",2.95965030843741,-2.05732206839641,-5.16188644943444,-3.10253857898861,9.56530258601474,0.826580680510741,0.00423891385775265,-0.00106771644271606,17
"484",2.9473342846733,-2.0480222996458,-5.18068657281444,-3.10177602670024,9.62412805963484,0.857382546011981,0.00483444430009679,-0.000335901056351347,17
"485",2.94019190330068,-2.04657207637786,-5.18665480896385,-3.08163504130269,9.63559542880833,0.831816781181102,0.00517934558670599,7.74514334500459e-05,17
"486",2.94296920944191,-2.03930171209735,-5.19888009016346,-3.12858311071323,9.69586761733245,0.835844300487214,0.00524744161035857,0.00017795290325481,17
"487",2.94361579747779,-2.04040452621269,-5.19692987945879,-3.12660879988252,9.69048496251416,0.833012956348552,0.00528883420882266,0.000227253657171475,17
"488",2.94370487523489,-2.03936466008581,-5.19872700188056,-3.13195502180588,9.69834847445264,0.833532488253889,0.00529918797467669,0.000239771559298989,17
"489",2.94381338923025,-2.03952800760912,-5.19843197460313,-3.13170632403431,9.69753855483525,0.833180566515133,0.00530458559881088,0.000246197324170855,17
"490",2.94381603484517,-2.03939114760023,-5.19866994015583,-3.13237063457374,9.69855301900937,0.833241067171908,0.00530603743083313,0.000247899764982558,17
"491",2.94383134321001,-2.03941090000687,-5.19863392221096,-3.13235042233221,9.69846093687876,0.833197506036571,0.00530674896378346,0.000248750418355091,17
"492",2.94383152139388,-2.03939356032154,-5.19866410435624,-3.13243403488127,9.69858937825449,0.833204290385085,0.00530694969576286,0.000248984455507334,17
"493",2.9438335519887,-2.03939577209537,-5.1986600343289,-3.1324332622238,9.69858008501793,0.83319890921925,0.00530704406311021,0.000249097430394035,17
"494",2.94383359707954,-2.03939360452604,-5.19866380543997,-3.1324438337368,9.69859623999582,0.833199651277148,0.00530707164961111,0.000249129586183613,17
"495",2.94383385983735,-2.03939384050106,-5.19866336614666,-3.13244397166804,9.69859540392316,0.833198985944351,0.00530708420569505,0.000249144614280151,17
"496",2.94383387036366,-2.03939357037832,-5.19866383560202,-3.13244531317688,9.6985974350299,0.833199065044355,0.00530708798363216,0.000249149023261414,17
"497",2.94383390409827,-2.03939359437957,-5.1986637901631,-3.13244536086538,9.69859737396538,0.833198982579333,0.00530708965765683,0.000249151025122702,17
"498",2.94383390613884,-2.03939356068109,-5.19866384865187,-3.13244553174579,9.69859762990294,0.83319899073444,0.00530709017380604,0.000249151628399835,17
